issue	event	representativedoc	keyword	summary
0	0	340	Republic of Korea President National Security,North Korea Seoul President,Provocative North Korea Seoul,President of Seoul, Republic of Korea,Blue House	"[""Top security advisers of South Korea and the US agreed to discuss in advance any steps they could take to contain provocative North Korea, Seoul's presidential office Cheong Wa Dae said. The agreement came at a telephone conversation between Chung Eui-yong, the head of South Korea's Presidential National Security Office, and his US counterpart HR McMaster.""]"
0	1	4388	North Korean leader mocking,North Korean tone,South Korea accused us of being president,criticize North Korea,North Korea blamed us	"['North Korea on Wednesday condemned US President Donald Trump\'s visit to South Korea, saying that the move is aggravating tensions on the Korean Peninsula, igniting the risk of a nuclear war. ""Trump has flown to South Korea as he seeks to strengthen military threats against us and has an intention to light the fuse for a nuclear war,"" North Korea\'s Rodong Sinmun newspaper said.']"
0	2	7059	North Korea's nuclear threat,North Korea's nuclear,Missiles like North Korea,South Korea's nuclear threat,South Korea's nuclear threat	"['The US should be prepared to launch preemptive strikes on North Korea, including a nuclear attack if necessary, before the communist nation uses its nuclear bombs that could ""kill 90% of Americans,"" former CIA Director James Woolsey said. Woolsey, who served as CIA Director from 1993-95, made the case in an op-ed piece in the Hill newspaper.']"
0	3	7131	Negotiations with North Korea,dialogue with North Korea,trade in north korea,North Korea said,pre-trade North Korea	"['The US should consider opening direct talks with North Korea to curb its nuclear and missile development, Richard Haass, president of the Council on Foreign Relations, said. ""Once talks commenced, the US side could advance a deal: North Korea would have to agree to freeze its nuclear and missile capabilities, which would require cessation of all testing of both warheads and missiles,"" he added.']"
0	4	7314	North Korea policy,criticize North Korea a lot,criticize North Korea,condemnation of North Korea policy,North Korea is strong	"['North Korea has said that it is fully ready for ""any war"" with the US. This comes after US Secretary of State Rex Tillerson said that the US is considering a wide range of options, including the use of military force, against North Korea. ""The US should face up to the situation of the world with its eyes wide open,"" a North Korean Foreign Ministry spokesman said.']"
1	0	3280	What North Korea Will Seek,Mars 15 icbm,Mars 15 icbm on,The Mars 15 icbm,Mars 15 icbm	"['If North Korea perfects its intercontinental ballistic missile re-entry technology next year, it is likely to seek talks with the US after declaring itself a nuclear state, a state-run think tank said. There is a high probability that North Korea will launch at least one ""Hwasong-15"" ICBM in 2018, which scientists and experts say puts the US mainland well within its target range, it added.']"
1	1	2677	North Korea launches ballistic missile,ballistic missile launched by South Korea,Korean launch ballistics,North Korea fired,North Korea launch	"[""North Korea launched a ballistic missile on Sunday from an area in the vicinity of Kusong, North Pyongan Province, South Korea's Joint Chiefs of Staff (JCS) said. The projectile flew some 700 km, it added. South Korea's President Moon Jae-in immediately convened an emergency meeting of the National Security Council to discuss the issue.""]"
1	2	2454	North Korea's second missile,South Korea launches second missile,South Korea's second missile,South Korean missiles,Pukguksong Missile	"[""North Korean leader Kim Jong-un has approved the deployment of a new intermediate-range ballistic missile for combat use as the country succeeded in test-firing it, Pyongyang's state media said on Monday. North Korea's leader observed the launch of the ground-to-ground Pukguksong-2 missile, expressing satisfaction with its accuracy in hitting targets, according to the Korean Central News Agency.""]"
1	3	3837	Pyongyang launches ballistic missile,missile Pyongyang launch,ballistic missile Pyongyang,Intercontinental Ballistic Missile Pyongyang,New Hwasong 15 Missile	"['North Korea on Wednesday successfully test-fired its longest-range intercontinental ballistic missile (ICBM) Hwasong-15. The missile reached an altitude of around 4,500 kilometres and flew 960 kilometres before landing in the East Sea, South Korea\'s Joint Chiefs of Staff said. ""The rocket soared to the highest altitude of 4,475 km and then flew the distance of 950 km,"" North Korea said.']"
1	4	382	Missile attack around Guam,Planning in Guam,Guam Plan,Guam's plan,Siege of Guam	"['North Korea\'s Strategic Force said that it is ""seriously"" examining an ""enveloping strike"" of Guam with four Hwasong-12 missiles and will finalise the plan by mid-August. The missiles will cross the sky above the Shimane, Hiroshima and Koichi prefectures of Japan and fly 3,356.7 kilometres for about 18 minutes before landing 30 to 40 kilometres away from Guam.']"
2	0	361	rf north,rf north korea foreign,rf north,Concerns about North Korea,urging the Korean Ministry of Foreign Affairs	"['South Korea\'s Foreign Ministry on Thursday urged North Korea to stop saber-rattling immediately and repeated the call for Pyongyang to respond to its dialogue offer aimed at easing tensions in the region. ""The North\'s recent threatening words have gone too much and run squarely against with the consensus contained in the statement issued after the ARF,"" it said.']"
2	1	7499	Tillerson visits Korea,Nuclear Ambassador Tillerson Visit,access to North Korea,visit Korea,visit Korea	"['US Secretary of State Rex Tillerson\'s visit to South Korea later this week is ""important"" and ""timely"" in that it will help the two allies draw up their detailed joint approach to North Korea and its growing nuclear and missile threats, South Korea\'s Foreign Ministry said. Tillerson will come to South Korea on Friday as part of his first Asia tour since inauguration.']"
2	2	6747	Ministry of Foreign Affairs meeting,Korean Ambassador to Korea,North Korean envoy,Korean Ambassador,Korean Ambassador	"[""South Korea, the US and Japan are arranging a meeting to coordinate their joint response toward North Korea's nuclear and missile threats, a foreign ministry official said on Tuesday. A Japanese media report said earlier that top nuclear envoys of the three countries are planning to hold a trilateral meeting in Tokyo later this month.""]"
2	3	3888	Korea-Russia relations,Korea-Russia relations,Korea-Russia relations,Partnership with Seoul,Partnership with Seoul	['South Korea and Russia have discussed ways to advance bilateral cooperation on a range of issues including the economy and high-level personnel exchange, the foreign ministry said. South Korean Deputy Foreign Minister for Political Affairs Yoon Soon-gu and Russian Vice Foreign Minister Igor Morgulov met during the 17th round of bilateral policy consultative conferences on Monday.']
2	4	4232	South Korea-U.S. Security Alliance,South Korea US Security,South Korea US Security,U.S. security alliance,security alliance trend	"[""Choo Mi-ae, the leader of the ruling Democratic Party, embarked on a six-day visit to the US on Tuesday for talks with US officials, lawmakers and scholars over the bilateral alliance, North Korean threats and trade, her aide said. Choo's trip comes as Seoul and Washington strive to rein in a provocative Pyongyang and amend their free trade agreement (FTA).""]"
3	0	5172	New Small Business Minister,Minister of SMEs and Startups,Minister of Small and Medium Business,Minister of Small and Medium Business,Small and Medium Business Administration established	"['South Korean President Moon Jae-in will likely name his new nominee for Minister of SMEs and Startups shortly after the Chuseok holiday, an official from the presidential office Cheong Wa Dae said on Tuesday. ""We are working hard to find a candidate and will name a new nominee as soon as can,"" the official said, speaking on condition of anonymity.']"
3	1	87	Justice Party candidate Kim Mong,Candidate Mong-soo Kim,Candidate Kim of the Ministry of Justice,Candidate for Supreme Court Justice Kim,South Korea support candidate Kim	['South Korean President Moon Jae-in has nominated Kim Meong-su, the head of the Chuncheon District Court in Gangwon Province, to be the Supreme Court Chief Justice. Kim was part of a now-defunct association formed in 1988 by progressive judges when high-ranking judges of the Chun Doo-hwan administration retained their posts even after former President Roh Tae-woo agreed to constitutional revision to enable fully democratic elections.']
3	2	2317	Moon Jae-in in the presidential election,Inconsistent President Moon Jae-in,President Moon Jae-in,President Moon Jae-in,door in the office	"[""South Korean President Moon Jae-in's office on Friday offered an apology over alleged irregularities of nominees for top government posts. The apology came as the main opposition party refused to endorse a joint report on the outcome of a recent confirmation hearing for Prime Minister nominee Lee Nak-yon. Lee, a former lawmaker and a provincial governor, came under scrutiny over his wife's false registration of residence.""]"
3	3	2300	President Moon Jae-in,Jong-seok Chief of the Office of the President,President Moon Jae-in,Candidate Nak-yeon Lee,Minister Candidate Lee Nak	['Cheong Wa Dae on Friday apologised for the ongoing dispute over flaws found in some of the Cabinet nominees tapped by President Moon Jae-in, seeking to ease the partisan conflict over the qualifications of Prime Minister nominee Lee Nak-yon. The presidential office, however, maintained its former stance that such flaws were not serious enough to disqualify the nominees and called for the parliamentary confirmation hearing committee to be flexible.']
3	4	1711	President Moon Jae-in,Minister of Foreign Affairs Kang Kyung,President Moon Jae-in,President Moon Jae-in,hard-line appointment	"['South Korean President Moon Jae-in on Sunday pushed ahead with the appointment of Kang Kyung-wha as Foreign Minister despite opposition parties\' protests. ""It is regrettable that the parliament (continued to oppose the appointment), but with the imminent Korea-US summit and the Group of 20 summit to follow, we could no longer leave the Foreign Ministry post unfilled,"" Moon said.']"
4	0	4512	re-registration of North Korea,National Security Adviser McMaster,returning North Korea,North Korea rebellion,mcmaster national security adviser	"['The US is considering relisting North Korea as a state sponsor of terrorism, National Security Adviser HR McMaster said. ""A regime who murders someone in a public airport using nerve agent, and a despotic leader who murders his brother in that manner, I mean, that\'s clearly an act of terrorism that fits in with a range of other actions,"" McMaster added.']"
4	1	7865	North Korean man detained,North Korean suspect,North Korean suspect,Korean man detained,The suspect is a North Korean	"[""Malaysia on Friday released a North Korean man detained over the killing of North Korean leader Kim Jong-un's half-brother Kim Jong-nam, citing lack of sufficient evidence. Ri Jong-chol, 46, was the only one taken into custody out of eight North Korean suspects in connection to the murder of Kim Jong-nam at a Kuala Lumpur airport on February 13.""]"
5	0	7988	for million yen,for million yen,1 billion yen to provide one million,provide 1 billion yen,billion yen million	['A lawmaker from the main opposition Democratic Party said part of the fund provided by the Japanese government to the victims of sexual enslavement during the colonial period (1910-45) was used to run the foundation created to support the victims. The lawmaker said of the total, 535 million won was used for the operation of the foundation instead of going to the victims.']
5	1	332	Compensation for Korean victims,compensation to Japan,reward Koreans,Compensation for Koreans,Before and After Compensation Claims	['A South Korean court on Friday ordered the Japanese firm Mitsubishi Heavy Industries to pay compensation to Korean victims of Japanese forced labor during World War II. The Gwangju District Court said that the wartime construction firm must pay 150 million won ($130,920) in compensation to Oh Cheol-seok, a family member of the late victim Oh Kil-ae, 120 million won to surviving victim Kim Jae-rim and 100 million won to two surviving victims.']
5	2	7943	girl statue korea,A statue of a girl representing Japan,Bronze Korea Council,statue korea,remove the statue	"['A girl statue symbolizing Japan\'s wartime sex slaves will be designated public property as early as April, a district office in Seoul said on Tuesday. The statue was erected in front of the Japanese Embassy in Seoul in 2011 to honor the ""comfort women"" who were forced into sexual slavery for Japanese troops during World War II.']"
5	3	781	Korean victims,Korean victim,Korean victims,Kim Geun-ja's victim,Japanese sex crime victims	['A funeral for the late Kim Kun-ja, a South Korean woman who was forced to work in front-line brothels for Japanese troops during World War II, was held on Tuesday. The two-phase Buddhist funeral service took place at the CHA Bundang Medical Center south of Seoul and at the House of Sharing, a shelter for former comfort women in Gwangju, Gyeonggi Province.']
